sample_idx,true_label,target_label,initial_pred,adv_label,success,queries,l2_mag,note
0,0,1.0,0,0.0,False,200,,Targeted I-FGSM
0,0,2.0,0,2.0,True,72,917.4829711914062,Targeted I-FGSM success
0,0,3.0,0,3.0,True,76,929.4783325195312,Targeted I-FGSM success
0,0,4.0,0,4.0,True,156,1070.524658203125,Targeted I-FGSM success
0,0,5.0,0,5.0,True,164,1282.2608642578125,Targeted I-FGSM success
0,0,6.0,0,6.0,True,110,1089.810546875,Targeted I-FGSM success
0,0,7.0,0,0.0,False,200,,Targeted I-FGSM
0,0,8.0,0,8.0,True,62,865.7205200195312,Targeted I-FGSM success
0,0,9.0,0,9.0,True,108,1115.019287109375,Targeted I-FGSM success
2,0,1.0,0,4.0,False,200,,Targeted I-FGSM
2,0,2.0,0,2.0,True,70,888.2803344726562,Targeted I-FGSM success
2,0,3.0,0,3.0,True,62,759.302978515625,Targeted I-FGSM success
2,0,4.0,0,4.0,True,74,890.0314331054688,Targeted I-FGSM success
2,0,5.0,0,5.0,True,50,644.1412963867188,Targeted I-FGSM success
2,0,6.0,0,6.0,True,76,901.6224365234375,Targeted I-FGSM success
2,0,7.0,0,7.0,True,78,917.0964965820312,Targeted I-FGSM success
2,0,8.0,0,8.0,True,50,691.90966796875,Targeted I-FGSM success
2,0,9.0,0,9.0,True,54,656.2423095703125,Targeted I-FGSM success
7,0,1.0,0,2.0,False,200,,Targeted I-FGSM
7,0,2.0,0,2.0,True,96,1169.442138671875,Targeted I-FGSM success
7,0,3.0,0,3.0,True,94,1188.9473876953125,Targeted I-FGSM success
7,0,4.0,0,0.0,False,200,,Targeted I-FGSM
7,0,5.0,0,5.0,True,86,1068.8353271484375,Targeted I-FGSM success
7,0,6.0,0,6.0,True,80,1087.1173095703125,Targeted I-FGSM success
7,0,7.0,0,7.0,True,138,1161.253662109375,Targeted I-FGSM success
7,0,8.0,0,8.0,True,70,945.2655639648438,Targeted I-FGSM success
7,0,9.0,0,9.0,True,86,1046.0640869140625,Targeted I-FGSM success
16,0,1.0,0,0.0,False,200,,Targeted I-FGSM
16,0,2.0,0,0.0,False,200,,Targeted I-FGSM
16,0,3.0,0,3.0,True,110,1187.2088623046875,Targeted I-FGSM success
16,0,4.0,0,0.0,False,200,,Targeted I-FGSM
16,0,5.0,0,5.0,True,60,694.6654052734375,Targeted I-FGSM success
16,0,6.0,0,6.0,True,82,1078.170166015625,Targeted I-FGSM success
16,0,7.0,0,0.0,False,200,,Targeted I-FGSM
16,0,8.0,0,8.0,True,72,933.0889282226562,Targeted I-FGSM success
16,0,9.0,0,9.0,True,56,665.752197265625,Targeted I-FGSM success
35,0,1.0,0,2.0,False,200,,Targeted I-FGSM
35,0,2.0,0,2.0,True,46,563.845703125,Targeted I-FGSM success
35,0,3.0,0,3.0,True,82,1020.00341796875,Targeted I-FGSM success
35,0,4.0,0,4.0,True,64,706.7962646484375,Targeted I-FGSM success
35,0,5.0,0,5.0,True,78,927.85400390625,Targeted I-FGSM success
35,0,6.0,0,6.0,True,24,330.0999755859375,Targeted I-FGSM success
35,0,7.0,0,7.0,True,92,980.6839599609375,Targeted I-FGSM success
35,0,8.0,0,8.0,True,44,596.7671508789062,Targeted I-FGSM success
35,0,9.0,0,9.0,True,52,673.317138671875,Targeted I-FGSM success
44,0,1.0,0,2.0,False,200,,Targeted I-FGSM
44,0,2.0,0,2.0,True,52,709.8239135742188,Targeted I-FGSM success
44,0,3.0,0,3.0,True,54,698.2850341796875,Targeted I-FGSM success
44,0,4.0,0,4.0,True,108,1082.450927734375,Targeted I-FGSM success
44,0,5.0,0,5.0,True,40,499.85699462890625,Targeted I-FGSM success
44,0,6.0,0,6.0,True,58,675.3243408203125,Targeted I-FGSM success
44,0,7.0,0,7.0,True,90,1010.6072387695312,Targeted I-FGSM success
44,0,8.0,0,8.0,True,106,1120.3726806640625,Targeted I-FGSM success
44,0,9.0,0,9.0,True,78,801.4000244140625,Targeted I-FGSM success
49,0,1.0,0,2.0,False,200,,Targeted I-FGSM
49,0,2.0,0,2.0,True,60,734.458984375,Targeted I-FGSM success
49,0,3.0,0,3.0,True,68,870.30224609375,Targeted I-FGSM success
49,0,4.0,0,4.0,True,122,1183.704345703125,Targeted I-FGSM success
49,0,5.0,0,5.0,True,50,641.36181640625,Targeted I-FGSM success
49,0,6.0,0,6.0,True,98,1154.2772216796875,Targeted I-FGSM success
49,0,7.0,0,7.0,True,82,925.111328125,Targeted I-FGSM success
49,0,8.0,0,8.0,True,50,692.7849731445312,Targeted I-FGSM success
49,0,9.0,0,9.0,True,52,675.3702392578125,Targeted I-FGSM success
58,0,1.0,0,0.0,False,200,,Targeted I-FGSM
58,0,2.0,0,2.0,True,76,963.1593627929688,Targeted I-FGSM success
58,0,3.0,0,3.0,True,64,833.9136352539062,Targeted I-FGSM success
58,0,4.0,0,0.0,False,200,,Targeted I-FGSM
58,0,5.0,0,5.0,True,154,1184.85107421875,Targeted I-FGSM success
58,0,6.0,0,6.0,True,134,1198.7835693359375,Targeted I-FGSM success
58,0,7.0,0,0.0,False,200,,Targeted I-FGSM
58,0,8.0,0,8.0,True,90,1132.4447021484375,Targeted I-FGSM success
58,0,9.0,0,9.0,True,126,1182.0338134765625,Targeted I-FGSM success
63,0,1.0,0,0.0,False,200,,Targeted I-FGSM
63,0,2.0,0,2.0,True,94,1151.8372802734375,Targeted I-FGSM success
63,0,3.0,0,3.0,True,110,1177.6807861328125,Targeted I-FGSM success
63,0,4.0,0,9.0,False,200,,Targeted I-FGSM
63,0,5.0,0,5.0,True,74,869.8218383789062,Targeted I-FGSM success
63,0,6.0,0,6.0,True,96,1150.88623046875,Targeted I-FGSM success
63,0,7.0,0,7.0,True,96,1060.447509765625,Targeted I-FGSM success
63,0,8.0,0,8.0,True,82,1080.3040771484375,Targeted I-FGSM success
63,0,9.0,0,9.0,True,102,1103.94970703125,Targeted I-FGSM success
67,0,1.0,0,2.0,False,200,,Targeted I-FGSM
67,0,2.0,0,2.0,True,48,600.185791015625,Targeted I-FGSM success
67,0,3.0,0,3.0,True,50,629.6896362304688,Targeted I-FGSM success
67,0,4.0,0,4.0,True,78,900.1383056640625,Targeted I-FGSM success
67,0,5.0,0,5.0,True,52,629.5831909179688,Targeted I-FGSM success
67,0,6.0,0,6.0,True,46,626.9593505859375,Targeted I-FGSM success
67,0,7.0,0,7.0,True,90,1062.321533203125,Targeted I-FGSM success
67,0,8.0,0,8.0,True,42,560.2321166992188,Targeted I-FGSM success
67,0,9.0,0,9.0,True,44,603.7391967773438,Targeted I-FGSM success
72,0,1.0,0,0.0,False,200,,Targeted I-FGSM
72,0,2.0,0,2.0,True,82,947.0285034179688,Targeted I-FGSM success
72,0,3.0,0,3.0,True,76,927.3984985351562,Targeted I-FGSM success
72,0,4.0,0,4.0,True,96,1152.5718994140625,Targeted I-FGSM success
72,0,5.0,0,5.0,True,90,1060.49658203125,Targeted I-FGSM success
72,0,6.0,0,6.0,True,82,1020.322021484375,Targeted I-FGSM success
72,0,7.0,0,7.0,True,84,957.6194458007812,Targeted I-FGSM success
72,0,8.0,0,8.0,True,60,832.1364135742188,Targeted I-FGSM success
72,0,9.0,0,9.0,True,68,840.5093994140625,Targeted I-FGSM success
73,0,1.0,0,0.0,False,200,,Targeted I-FGSM
73,0,2.0,0,2.0,True,196,1284.268310546875,Targeted I-FGSM success
73,0,3.0,0,3.0,True,96,1133.024658203125,Targeted I-FGSM success
73,0,4.0,0,0.0,False,200,,Targeted I-FGSM
73,0,5.0,0,0.0,False,200,,Targeted I-FGSM
73,0,6.0,0,0.0,False,200,,Targeted I-FGSM
73,0,7.0,0,0.0,False,200,,Targeted I-FGSM
73,0,8.0,0,8.0,True,164,1472.0703125,Targeted I-FGSM success
73,0,9.0,0,9.0,True,96,1127.05322265625,Targeted I-FGSM success
75,0,1.0,0,0.0,False,200,,Targeted I-FGSM
75,0,2.0,0,2.0,True,98,1176.1029052734375,Targeted I-FGSM success
75,0,3.0,0,3.0,True,106,1276.793701171875,Targeted I-FGSM success
75,0,4.0,0,4.0,True,168,1372.896240234375,Targeted I-FGSM success
75,0,5.0,0,0.0,False,200,,Targeted I-FGSM
75,0,6.0,0,6.0,True,140,1131.514892578125,Targeted I-FGSM success
75,0,7.0,0,0.0,False,200,,Targeted I-FGSM
75,0,8.0,0,8.0,True,66,887.8817749023438,Targeted I-FGSM success
75,0,9.0,0,9.0,True,80,984.13720703125,Targeted I-FGSM success
97,0,1.0,0,0.0,False,200,,Targeted I-FGSM
97,0,2.0,0,2.0,True,52,661.4332885742188,Targeted I-FGSM success
97,0,3.0,0,3.0,True,88,1015.2019653320312,Targeted I-FGSM success
97,0,4.0,0,0.0,False,200,,Targeted I-FGSM
97,0,5.0,0,5.0,True,76,851.2426147460938,Targeted I-FGSM success
97,0,6.0,0,6.0,True,72,991.3505859375,Targeted I-FGSM success
97,0,7.0,0,0.0,False,200,,Targeted I-FGSM
97,0,8.0,0,8.0,True,70,838.67333984375,Targeted I-FGSM success
97,0,9.0,0,9.0,True,44,542.2896118164062,Targeted I-FGSM success
112,0,1.0,0,0.0,False,200,,Targeted I-FGSM
112,0,2.0,0,2.0,True,98,975.7012939453125,Targeted I-FGSM success
112,0,3.0,0,3.0,True,62,756.9273681640625,Targeted I-FGSM success
112,0,4.0,0,0.0,False,200,,Targeted I-FGSM
112,0,5.0,0,5.0,True,68,773.02587890625,Targeted I-FGSM success
112,0,6.0,0,6.0,True,94,1148.1041259765625,Targeted I-FGSM success
112,0,7.0,0,0.0,False,200,,Targeted I-FGSM
112,0,8.0,0,8.0,True,78,976.4107666015625,Targeted I-FGSM success
112,0,9.0,0,9.0,True,76,831.458984375,Targeted I-FGSM success
113,0,1.0,0,0.0,False,200,,Targeted I-FGSM
113,0,2.0,0,2.0,True,50,690.3477172851562,Targeted I-FGSM success
113,0,3.0,0,3.0,True,60,795.9522705078125,Targeted I-FGSM success
113,0,4.0,0,4.0,True,64,774.2564086914062,Targeted I-FGSM success
113,0,5.0,0,5.0,True,92,1072.6947021484375,Targeted I-FGSM success
113,0,6.0,0,6.0,True,84,989.6984252929688,Targeted I-FGSM success
113,0,7.0,0,7.0,True,82,964.8569946289062,Targeted I-FGSM success
113,0,8.0,0,8.0,True,54,786.779541015625,Targeted I-FGSM success
113,0,9.0,0,9.0,True,82,932.263916015625,Targeted I-FGSM success
118,0,1.0,0,1.0,True,194,1212.814453125,Targeted I-FGSM success
118,0,2.0,0,2.0,True,38,539.5498046875,Targeted I-FGSM success
118,0,3.0,0,3.0,True,50,653.0980224609375,Targeted I-FGSM success
118,0,4.0,0,4.0,True,48,587.5108642578125,Targeted I-FGSM success
118,0,5.0,0,5.0,True,36,452.4146423339844,Targeted I-FGSM success
118,0,6.0,0,6.0,True,38,471.691650390625,Targeted I-FGSM success
118,0,7.0,0,7.0,True,42,492.49163818359375,Targeted I-FGSM success
118,0,8.0,0,8.0,True,36,507.3775634765625,Targeted I-FGSM success
118,0,9.0,0,9.0,True,36,492.2367248535156,Targeted I-FGSM success
135,0,1.0,0,4.0,False,200,,Targeted I-FGSM
135,0,2.0,0,2.0,True,34,460.6495361328125,Targeted I-FGSM success
135,0,3.0,0,3.0,True,66,868.48779296875,Targeted I-FGSM success
135,0,4.0,0,4.0,True,40,504.39569091796875,Targeted I-FGSM success
135,0,5.0,0,5.0,True,84,1029.0772705078125,Targeted I-FGSM success
135,0,6.0,0,6.0,True,78,942.198486328125,Targeted I-FGSM success
135,0,7.0,0,7.0,True,60,718.62646484375,Targeted I-FGSM success
135,0,8.0,0,8.0,True,50,687.8125,Targeted I-FGSM success
135,0,9.0,0,9.0,True,44,596.1157836914062,Targeted I-FGSM success
155,0,1.0,0,0.0,False,200,,Targeted I-FGSM
155,0,2.0,0,2.0,True,84,1004.9119262695312,Targeted I-FGSM success
155,0,3.0,0,3.0,True,86,1046.552490234375,Targeted I-FGSM success
155,0,4.0,0,0.0,False,200,,Targeted I-FGSM
155,0,5.0,0,0.0,False,200,,Targeted I-FGSM
155,0,6.0,0,6.0,True,144,1262.5526123046875,Targeted I-FGSM success
155,0,7.0,0,0.0,False,200,,Targeted I-FGSM
155,0,8.0,0,8.0,True,82,1126.320068359375,Targeted I-FGSM success
155,0,9.0,0,9.0,True,120,1058.748291015625,Targeted I-FGSM success
174,0,1.0,0,0.0,False,200,,Targeted I-FGSM
174,0,2.0,0,2.0,True,68,878.0882568359375,Targeted I-FGSM success
174,0,3.0,0,3.0,True,80,870.3849487304688,Targeted I-FGSM success
174,0,4.0,0,4.0,True,96,1031.8861083984375,Targeted I-FGSM success
174,0,5.0,0,5.0,True,48,566.3594360351562,Targeted I-FGSM success
174,0,6.0,0,6.0,True,38,529.5479125976562,Targeted I-FGSM success
174,0,7.0,0,0.0,False,200,,Targeted I-FGSM
174,0,8.0,0,8.0,True,50,625.2095947265625,Targeted I-FGSM success
174,0,9.0,0,9.0,True,36,445.0865173339844,Targeted I-FGSM success
182,0,1.0,0,2.0,False,200,,Targeted I-FGSM
182,0,2.0,0,2.0,True,88,1077.6080322265625,Targeted I-FGSM success
182,0,3.0,0,3.0,True,90,1135.6337890625,Targeted I-FGSM success
182,0,4.0,0,0.0,False,200,,Targeted I-FGSM
